source,target,value
5,40,1
22,25,1
0,34,2
45,46,1
12,23,1
13,17,2
4,50,1
29,31,2
5,49,1
1,19,4
35,47,1
7,11,2
38,10,1
28,50,1
2,43,1
29,36,1
8,40,1
25,30,1
20,22,1
24,27,1
4,44,1
6,29,1
9,31,1
25,36,2
39,26,1
0,19,4
27,35,1
4,24,3
22,28,1
46,35,1
30,31,2
9,3,6
37,1,1
10,36,1
1,10,6
2,26,3
19,33,1
15,41,1
2,44,1
0,13,5
20,18,1
30,36,1
35,36,1
37,5,1
1,47,1
17,47,1
31,19,1
12,24,1
14,5,4
30,19,1
8,3,7
38,9,1
16,43,1
5,18,3
8,33,1
2,46,1
8,45,1
6,5,5
21,8,2
2,28,2
2,33,2
20,26,2
45,35,1
2,41,1
21,23,2
1,32,2
4,26,3
1,50,1
11,19,2
5,25,2
34,27,2
4,46,1
7,43,1
8,9,4
23,15,2
11,25,2
20,35,1
34,35,1
9,47,1
1,42,1
1,28,2
12,10,3
37,14,1
10,28,1
20,47,1
17,45,1
19,49,1
3,34,2
7,42,1
5,27,2
14,34,1
18,46,1
22,18,1
39,31,1
1,38,1
3,41,1
6,34,1
5,45,1
4,34,2
47,36,1
2,48,1
10,48,1
21,1,3
1,12,5
11,26,1
11,10,3
24,18,2
8,28,2
14,23,2
1,40,1
13,45,1
0,28,2
0,11,5
11,31,1
4,29,2
24,45,1
24,16,1
12,34,2
7,39,1
5,3,8
1,33,2
10,35,1
1,46,1
32,27,1
16,41,1
39,32,1
0,33,2
8,46,1
26,27,1
24,26,1
15,24,1
2,19,4
26,35,1
9,27,2
37,28,1
14,24,1
15,17,2
13,10,2
18,19,1
0,29,2
26,36,1
10,45,1
21,28,1
10,27,2
7,45,1
7,29,1
14,19,1
6,24,2
4,18,4
4,28,2
2,34,2
14,22,2
10,30,1
11,18,2
20,2,3
9,28,1
4,19,4
22,4,3
0,12,5
13,36,1
10,4,6
7,47,1
9,45,1
1,18,4
14,2,4
12,30,1
13,47,1
11,5,3
2,39,1
0,44,1
21,17,1
5,46,1
7,10,5
0,42,1
8,4,7
22,8,2
21,24,1
14,12,3
6,8,4
20,6,2
20,0,3
19,26,1
22,3,3
29,27,1
12,9,3
30,32,2
13,33,1
3,30,2
29,39,1
38,12,1
4,27,3
9,24,2
6,43,1
1,48,1
9,48,1
12,36,2
2,40,1
2,24,3
9,18,3
6,42,1
7,49,1
27,47,1
4,16,4
18,48,1
20,24,1
0,37,1
38,2,1
